grid_id,yolcu_per_stop_weekday,sefer_per_stop_weekday,kapasite_per_stop_weekday,doluluk_orani_weekday,kapasite_kullanimi_weekday,stop_count_weekday,yolcu_per_stop_weekend,sefer_per_stop_weekend,kapasite_per_stop_weekend,doluluk_orani_weekend,kapasite_kullanimi_weekend,stop_count_weekend,util_change,high_weekend_variance
39.7477_32.8706,0.10521780609026139,0.006058717629137182,0.8323716321223591,12.69578313253012,12.660766019977459,1.0060240963855422,0.03364404033472479,0.002516154857894354,0.40174605897714494,8.716417910447761,8.682165210812299,1.0,3.97860080916516,False
39.7477_33.1059,0.022702504879635606,0.00128497072218603,0.14155823031880285,15.93125,15.89153272850661,1.00625,0.01429326610279761,0.0012809043591411374,0.14061483409238776,10.046875,10.004367770173994,1.0,5.887164958332615,False
39.7568_32.3882,0.334943974966741,0.006799359178549339,0.9590961044801288,35.65060240963855,35.634944736871034,1.0060240963855422,0.204452078642557,0.004804902393166357,0.6630301060792461,31.149253731343283,31.100965773966465,1.0,4.53397896290457,False
39.7568_32.6353,0.31648382244464046,0.004652764720345947,0.6761921636124328,46.6355421686747,46.65959431417693,8.048192771084338,0.19684291627098596,0.003691028650265997,0.5443371378402106,36.46268656716418,36.466400988256,8.0,10.19319332592093,False
39.7568_32.6471,0.31648382244464046,0.004652764720345947,0.6761921636124328,46.6355421686747,46.65959431417693,2.0120481927710845,0.19684291627098596,0.003691028650265997,0.5443371378402106,36.46268656716418,36.466400988256,2.0,10.19319332592093,False
39.7568_32.6588,1.51529623053766,0.02088375247095605,3.1964546089903716,44.01144578313253,47.39521160870566,30.072289156626507,1.19637998522348,0.01888657485970138,3.0368362883756714,37.94776119402985,39.57431483309902,24.0,7.820896775606641,False
39.7568_32.7294,0.4312953706348179,0.01218436771999942,1.58388233583303,52.74246987951807,27.256743142935193,7.975903614457831,0.32010388071207996,0.012177631645185401,1.7059190201061762,18.12686567164179,18.279078889570524,4.0,8.977664253364669,False
39.7568_32.7412,0.5002327723530283,0.012784126780388769,1.782496201158356,54.99966532797858,27.883647562933096,17.94578313253012,0.41282824443277555,0.013840653815935888,2.0391540388529394,25.320066334991708,19.884543267846414,9.0,7.999104295086681,False
39.7568_32.7529,1.3733141122222938,0.03850950280536909,5.317956468802404,40.09087037806398,25.722414229567214,29.012048192771083,0.9591660805943192,0.035164225980513074,5.036339339998715,18.527611940298506,18.80368202857651,20.0,6.9187322009907035,False
39.7568_32.7765,0.6336331814651591,0.01928937628948446,2.698676501089004,24.042168674698797,23.511818659761897,6.036144578313253,0.3657605198001473,0.014165488057911794,1.9868536054247752,17.350746268656717,18.40256677015501,6.0,5.109251889606888,False
39.7568_32.8,1.3574640738890305,0.03665524129161439,5.041236024567545,26.756107663700053,27.086772996325102,123.47590361445783,0.8664634647763381,0.024894652842423554,3.681093440591022,24.034629311185324,23.435134062794635,108.91044776119404,3.6516389335304673,False
39.7568_32.8118,15.320123066823236,0.24468528345489743,29.558403551053726,36.44672712988402,51.182805351343674,136.36746987951807,12.16738537293059,0.24130321256555465,30.17301215323489,24.59106500615834,39.91480514871038,86.49253731343283,11.268000202633296,False
39.7568_32.8353,0.05767451454755186,0.0022229876954626797,0.3090073058190207,18.60542168674699,18.56629677681786,1.0060240963855422,0.019579628453477247,0.0013496348046998523,0.188631311527469,10.402985074626866,10.382820918449228,1.0,8.183475858368633,False
39.7568_32.8471,0.10521780609026139,0.006058717629137182,0.8323716321223591,12.69578313253012,12.660766019977459,2.0120481927710845,0.03364404033472479,0.002516154857894354,0.40174605897714494,8.716417910447761,8.682165210812299,2.0,3.97860080916516,False
39.7568_32.8588,0.10521780609026139,0.006058717629137182,0.8323716321223591,12.69578313253012,12.660766019977459,4.024096385542169,0.03364404033472479,0.002516154857894354,0.40174605897714494,8.716417910447761,8.682165210812299,4.0,3.97860080916516,False
39.7658_32.4,0.1461337151886233,0.007575383501217966,1.124333399170452,13.24698795180723,13.241203877570186,2.0120481927710845,0.07899389263902278,0.005062680810028885,0.7798135647701703,10.882352941176471,10.87876369185667,2.0,2.362440185713515,False
39.7658_32.4706,1.9032563767242463,0.0578616161256313,7.048884074930793,27.14457831325301,27.136583097915736,3.0180722891566263,1.1459980172286157,0.03839152295379599,4.748663474490361,23.46268656716418,24.714708096493215,3.0,2.4218750014225208,False
39.7658_32.5176,0.8237413941480206,0.07094449225473318,9.93222891566265,8.289156626506024,8.25301204819277,4.024096385542169,0.43017057569296374,0.06609808102345413,9.236673773987206,4.656716417910448,4.656441295825022,4.0,3.5965707523677484,False
39.7658_32.6,2.569201807228916,0.15173192771084337,21.265361445783135,11.936746987951807,11.96787792871465,3.0180722891566263,1.133823529411765,0.09558823529411764,13.382352941176471,8.558823529411764,8.518907563025211,3.0,3.448970365689439,False
39.7658_32.6471,0.32722571797001226,0.0038408954223324884,0.6047520156843907,54.98895582329317,54.120999391693886,6.036144578313253,0.17855541383509319,0.0024394138078695045,0.41631786348694283,45.01990049751243,43.40945353213666,6.0,10.711545859557226,False
39.7658_32.6588,0.8510130238663429,0.013209167471948785,1.9869597778671808,40.15700301204819,42.7882718818655,8.012048192771084,0.6920206894812835,0.012497113896977032,1.9260803395322965,34.646766169154226,36.1021697880072,6.0,6.686102093858295,False
39.7658_32.6706,1.176755061727991,0.01588310283208203,2.443210756077793,48.351405622489956,48.11508251665998,14.048192771084338,0.854057211021369,0.013195585368691323,2.1419936010205505,41.73134328358209,40.05642289547823,12.0,8.058659621181754,False
39.7658_32.6824,0.3325966657326982,0.0034349607733258074,0.5690319417203699,59.16566265060241,59.11306729701739,1.0060240963855422,0.1694116626171468,0.0018136063866712657,0.3523082263103089,49.298507462686565,49.26253934409585,1.0,9.850527952921539,False
39.7658_32.6941,0.3325966657326982,0.0034349607733258074,0.5690319417203699,59.16566265060241,59.11306729701739,1.0060240963855422,0.1694116626171468,0.0018136063866712657,0.3523082263103089,49.298507462686565,49.26253934409585,1.0,9.850527952921539,False
39.7658_32.7176,0.2809899221859196,0.00793052784474237,0.9991912616200171,61.77911646586346,28.58600863845079,8.94578313253012,0.32330348258706465,0.011781094527363157,1.6566766169154228,19.17910447761194,19.177448940072946,3.0,9.408559698377843,False
39.7658_32.7294,0.2809899221859196,0.00793052784474237,0.9991912616200173,61.77911646586346,28.586008638450785,11.927710843373495,0.32330348258706465,0.011781094527363157,1.6566766169154228,19.17910447761194,19.177448940072946,4.0,9.40855969837784,False
39.7658_32.7412,0.4668457235835627,0.012483626962330721,1.682170274639446,47.58891870001012,27.505661198039324,16.92168674698795,0.43502626258116517,0.015153460018760837,2.253891568818092,18.69722814498934,18.833104586049465,7.0,8.672556611989858,False
39.7658_32.7529,0.9890025055378038,0.026515713076940468,3.754834868252131,49.02033132530121,26.047218831260334,7.957831325301205,1.1179815209665955,0.03852167732764743,5.772850035536603,18.925373134328357,18.874850300462796,3.0,7.172368530797538,False
39.7658_32.7647,1.1771225201030844,0.03278652190994771,4.488676196317229,46.88125175119081,26.154676416354796,42.91566265060241,0.9760243809234332,0.03577498159806531,5.122556827311377,18.58146766169154,18.792703368241572,24.0,7.361973048113224,False
