lat,lon,stop_count,total_passengers,avg_occupancy,center_lat,center_lon
39.54504504504504,32.858823529411765,3,103.53846153846153,6.94017094017094,39.545495495495494,32.85941176470588
39.54504504504504,33.02470588235294,2,115.94017094017094,20.666666666666668,39.545495495495494,33.02529411764706
39.54684684684685,32.612941176470585,3,594.9358974358975,14.756410256410255,39.5472972972973,32.6135294117647
39.54684684684685,33.019999999999996,3,173.9102564102564,20.666666666666668,39.5472972972973,33.02058823529411
39.54684684684685,33.02470588235294,2,115.94017094017094,20.666666666666668,39.5472972972973,33.02529411764706
39.54774774774775,32.86,3,170.19230769230768,9.307692307692308,39.5481981981982,32.86058823529412
39.54774774774775,33.02117647058823,2,115.94017094017094,20.666666666666668,39.5481981981982,33.02176470588235
39.54864864864865,32.84823529411764,2,103.53846153846153,10.41025641025641,39.5490990990991,32.84882352941176
39.54864864864865,33.02117647058823,6,347.8205128205128,20.666666666666668,39.5490990990991,33.02176470588235
39.54954954954955,33.019999999999996,2,115.94017094017094,20.666666666666668,39.550000000000004,33.02058823529411
39.55135135135135,32.59294117647058,1,484.04700854700855,21.876068376068375,39.5518018018018,32.5935294117647
39.55135135135135,32.702352941176464,10,603.8247863247864,33.01282051282051,39.5518018018018,32.70294117647058
39.55135135135135,32.81882352941176,3,197.65384615384616,29.737891737891733,39.5518018018018,32.819411764705876
39.55135135135135,32.857647058823524,15,517.6923076923076,6.94017094017094,39.5518018018018,32.85823529411764
39.55135135135135,32.91411764705882,3,170.19230769230768,9.307692307692308,39.5518018018018,32.91470588235294
39.55225225225225,32.8635294117647,2,115.94017094017094,20.666666666666668,39.5527027027027,32.86411764705882
39.55225225225225,32.87764705882353,2,0.0,0.0,39.5527027027027,32.878235294117644
39.553153153153154,33.1235294117647,8,836.448717948718,23.528846153846153,39.553603603603605,33.12411764705882
39.554054054054056,32.625882352941176,1,0.0,0.0,39.55450450450451,32.62647058823529
39.55495495495496,32.802352941176466,3,359.8846153846154,34.85042735042735,39.55540540540541,32.80294117647058
39.55495495495496,32.87176470588235,2,53.07960199004975,9.559701492537313,39.55540540540541,32.872352941176466
39.55585585585585,33.11764705882353,3,278.8162393162393,20.914529914529915,39.556306306306304,33.118235294117646
39.55585585585585,33.122352941176466,3,278.8162393162393,20.914529914529915,39.556306306306304,33.12294117647058
39.556756756756755,33.11764705882353,6,557.6324786324786,20.914529914529915,39.557207207207206,33.118235294117646
39.55765765765766,33.11764705882353,3,278.8162393162393,20.914529914529915,39.55810810810811,33.118235294117646
39.55945945945946,33.11176470588235,6,557.6324786324786,20.914529914529915,39.55990990990991,33.11235294117647
39.56036036036036,33.11058823529412,6,557.6324786324786,20.914529914529915,39.560810810810814,33.111176470588234
39.56306306306306,32.8635294117647,5,265.39800995024876,19.119402985074625,39.56351351351351,32.86411764705882
39.56306306306306,32.910588235294114,4,340.38461538461536,13.961538461538462,39.56351351351351,32.91117647058823
39.564864864864866,32.75176470588235,2,108.58119658119658,37.666666666666664,39.56531531531532,32.75235294117647
39.564864864864866,32.81058823529411,6,396.19230769230774,29.393162393162395,39.56531531531532,32.81117647058823
39.57117117117117,32.82,12,414.15384615384613,6.94017094017094,39.571621621621624,32.82058823529412
39.572072072072075,32.79764705882353,7,539.2863247863248,22.637362637362635,39.572522522522526,32.798235294117646
39.572072072072075,32.855294117647055,55,1707.8609133818088,9.712593674981736,39.572522522522526,32.85588235294117
39.574774774774774,32.8,7,539.2863247863248,22.637362637362635,39.575225225225225,32.800588235294114
