grid_id,grid_lat,grid_lon,yolcu_per_stop,sefer_per_stop,kapasite_per_stop,doluluk_orani,kapasite_kullanimi,stop_count,in_capacity_util_tail,in_passenger_tail,lisa_quadrant,lisa_pvalue,lisa_significant
39.8378_32.5765,39.83783783783784,32.576470588235296,22.03910022742796,0.3672166267206836,51.16883376015921,34.72321343415764,42.84772819214068,9.476394849785407,False,False,4,0.191,False
39.8378_32.5882,39.83783783783784,32.588235294117645,22.03910022742796,0.3672166267206836,51.16883376015921,34.72321343415764,42.84772819214068,9.476394849785407,False,False,4,0.152,False
39.8378_32.6588,39.83783783783784,32.65882352941176,10.794806566424919,0.1599176181773558,22.56644314734955,49.35107296137339,47.5165239638841,10.042918454935622,False,False,1,0.303,False
39.8378_32.6706,39.83783783783784,32.67058823529412,7.475355272749871,0.10947066297342165,15.444572727673192,49.89206008583691,47.99552796848954,10.042918454935622,False,False,1,0.315,False
39.8378_32.6824,39.83783783783784,32.68235294117647,9.3530177596684,0.1484796025201222,22.50911657263912,37.65605627086314,41.90494787829773,7.536480686695279,False,False,1,0.239,False
39.8378_32.7059,39.83783783783784,32.705882352941174,6.595870672363717,0.08789492725701376,12.570286198371033,44.898732211429866,51.915733337469824,18.1931330472103,False,False,1,0.068,False
39.8378_32.7176,39.83783783783784,32.71764705882353,5.335574879949282,0.07400076776848026,10.54457842085543,46.69172089159629,49.23881809888481,30.836909871244636,False,False,1,0.032,True
39.8378_32.7294,39.83783783783784,32.72941176470588,4.773887036658478,0.06945851110383601,9.825312194225306,46.69420600858369,46.04614802532774,4.017167381974249,False,False,1,0.008,True
39.8378_32.7412,39.83783783783784,32.74117647058824,0.568529451824526,0.007258351689617368,1.1047721782518678,52.59603004291846,51.87653760337285,4.017167381974249,False,False,1,0.002,True
39.8378_32.7647,39.83783783783784,32.76470588235294,8.33471191702598,0.09462797040516517,17.920058503429537,45.20699438573713,46.13361859691659,17.69527896995708,False,False,1,0.002,True
39.8378_32.7765,39.83783783783784,32.77647058823529,7.302406849877096,0.08487524456278284,15.748067269871326,44.87012442745338,46.14415616534304,29.433476394849784,False,False,1,0.081,False
39.8378_32.7882,39.83783783783784,32.78823529411765,8.704562996742712,0.11241030527920434,18.702635554131803,45.20722867207707,46.542960494826566,24.742489270386265,False,False,1,0.097,False
39.8378_32.8,39.83783783783784,32.8,14.2605416746007,0.19667984645363748,25.328019680298414,48.68298354006509,56.525691648115895,23.23175965665236,False,False,1,0.113,False
39.8378_32.8235,39.83783783783784,32.8235294117647,15.746597361163444,0.22602556217370212,29.879221907141336,44.76430238686846,52.95515005930011,16.386266094420602,False,False,1,0.066,False
39.8378_32.8471,39.83783783783784,32.84705882352941,9.607956591918128,0.18021429607065736,15.279001762166978,59.7755364806867,61.4616161438785,5.021459227467811,False,False,1,0.012,True
39.8378_32.8588,39.83783783783784,32.858823529411765,2.5154388313580345,0.03850651651769892,5.388707327637123,46.47424892703863,46.44014146687018,4.017167381974249,False,False,1,0.024,True
39.8378_33.0118,39.83783783783784,33.01176470588235,10.975203141698758,0.07102467104333118,18.423552562384433,59.34978540772532,59.35579820346596,1.0042918454935623,False,False,1,0.011,True
39.8468_32.4118,39.84684684684685,32.411764705882355,0.13471994535519122,0.0071482240437158225,1.0657650273224042,12.845,12.839589045998887,2.01,False,False,3,0.001,True
39.8468_32.4235,39.84684684684685,32.423529411764704,0.17420616550674373,0.00867588328063331,1.2477658080360297,13.120171673819742,13.076759293442667,2.0085836909871246,False,False,3,0.002,True
39.8468_32.4471,39.84684684684685,32.44705882352941,0.2694398907103825,0.01429644808743165,2.1315300546448084,12.845,12.839589045998887,1.005,False,False,3,0.004,True
39.8468_32.5529,39.84684684684685,32.55294117647059,10.761464071762274,0.13748288653290927,20.936453783832725,45.85084815041897,51.07145002272665,6.5965665236051505,False,False,1,0.025,True
39.8468_32.5882,39.84684684684685,32.588235294117645,14.683649488202592,0.23555241669789168,32.72095233811154,41.170237785581136,44.50435343331975,11.484978540772532,False,False,4,0.423,False
39.8468_32.6,39.84684684684685,32.6,21.110704237112575,0.3559637764097815,49.603876396938624,33.84814163011423,42.33811762132638,38.918454935622314,False,False,1,0.438,False
39.8468_32.6235,39.84684684684685,32.62352941176471,34.61592871014859,0.41534673928593174,63.24938620545947,47.22585836909871,54.40246423039313,3.725321888412017,False,True,1,0.122,False
39.8468_32.6353,39.84684684684685,32.63529411764706,34.32044125618489,0.4155032469634771,63.139739152805966,45.862611422911854,53.91766271574958,14.180257510729614,False,True,1,0.069,False
39.8468_32.6471,39.84684684684685,32.64705882352941,6.894911595810133,0.13439847650563863,18.81660876813827,31.85997854077253,35.64777060155952,7.733905579399142,False,False,2,0.097,False
