grid_id,grid_lat_x,grid_lon_x,stop_count,yolcu_per_stop,sefer_per_stop,kapasite_per_stop,doluluk_orani,kapasite_kullanimi,reconstruction_error,anomaly_autoencoder,anomaly_score_if,anomaly_isolation_forest,lof_score,anomaly_lof,graph_anomaly_score,anomaly_graph,anomaly_count,anomaly_consensus,embedding_instability,grid_lat_y,grid_lon_y,regime_shift_embedding,cluster_switch_rate,regime_shift_clustering,regime_shift_consensus,critical_grid
40.036_32.9647,40.03603603603604,32.96470588235294,1.0042918454935623,0.22488363658344918,0.0057476475447822166,0.8089020532350037,26.454935622317596,26.48221949724096,0.0007700913753932846,False,-0.38591039655249565,False,-0.9755052156405981,False,0.1736836451830077,False,0,False,0.692913261513363,40.03603603603604,32.96470588235294,False,0.3706896551724138,False,False,False
40.036_32.9765,40.03603603603604,32.976470588235294,1.0042918454935623,0.22488363658344918,0.0057476475447822166,0.8089020532350037,26.454935622317596,26.48221949724096,0.0007700913753932846,False,-0.38591039655249565,False,-0.9755052156405981,False,0.20997356552102228,False,0,False,0.692913261513363,40.03603603603604,32.976470588235294,False,0.3706896551724138,False,False,False
40.036_33.0588,40.03603603603604,33.05882352941176,9.334763948497853,1.4338697730360188,0.02883430000950825,4.065295177766775,39.1244635193133,35.83678811657686,0.007957194427762363,False,-0.38105019112240074,False,-1.0870560053869598,False,0.1303413400946552,False,0,False,0.4559467221750539,40.03603603603604,33.05882352941176,False,0.15086206896551724,False,False,False
40.045_32.3647,40.04504504504504,32.36470588235294,1.005,0.18113183730715285,0.004455820476858272,1.0063113604488079,19.2275,19.242887404961984,0.0010231689965215104,False,-0.4078741911881508,False,-1.5384692432427713,False,1.8728649807862614,False,0,False,0.7926162383441254,40.04504504504504,32.36470588235294,False,0.15517241379310345,False,False,False
40.045_32.5882,40.04504504504504,32.588235294117645,2.0085836909871246,0.2983136636306958,0.016161520536565263,1.152212403922688,37.572961373390555,26.59828551331466,0.04774518926954232,False,-0.3890255077489757,False,-1.3698243519850306,False,0.3852827096752307,False,0,False,1.0409484512340077,40.04504504504504,32.588235294117645,True,0.3879310344827586,True,True,False
40.045_32.6235,40.04504504504504,32.62352941176471,15.047210300429185,2.0278393685503975,0.07208788910221046,7.286345656994881,35.27659922338034,27.83610392168577,0.025064333568004693,False,-0.40775083010057733,False,-1.2002518182842068,False,0.2547429308886265,False,0,False,0.5249809553776207,40.04504504504504,32.62352941176471,False,0.27586206896551724,False,False,False
40.045_32.6941,40.04504504504504,32.694117647058825,5.600858369098712,0.692335238391331,0.01962833152381156,1.3771456191357527,52.952789699570815,49.82478712396489,0.01218452576036925,False,-0.39832688891381124,False,-1.0019304037412478,False,0.7937408148298775,False,0,False,1.040956006713433,40.04504504504504,32.694117647058825,True,0.3922413793103448,True,True,False
40.045_32.7647,40.04504504504504,32.76470588235294,9.939914163090128,4.159574129193185,0.06179742668085054,9.045028648007097,46.66881258941345,46.08390627796692,0.003131542058495446,False,-0.38127419786888705,False,-0.9955887838919153,False,0.19414029792315524,False,0,False,0.5426954547971611,40.04504504504504,32.76470588235294,False,0.23275862068965517,False,False,False
40.045_32.8235,40.04504504504504,32.8235294117647,5.021459227467811,6.024076648733604,0.09028894396421444,12.638759596203831,45.8412017167382,45.827558256494115,0.0016623432788712793,False,-0.3850328125489481,False,-1.0600892362314331,False,1.0181224090007475,False,0,False,0.6116779503133086,40.04504504504504,32.8235294117647,False,0.38362068965517243,False,False,False
40.045_32.8353,40.04504504504504,32.83529411764706,35.562231759656655,23.652739021716904,0.170677395209427,42.601099554663236,54.28751070583152,55.670559864447476,0.01477984935527493,False,-0.44420388779972336,False,-1.0315613294242607,False,0.4988725169100864,False,0,False,0.43116040858787025,40.04504504504504,32.83529411764706,False,0.21982758620689655,False,False,False
40.045_32.8471,40.04504504504504,32.84705882352941,7.030042918454936,1.1921539624349184,0.012304453842802387,1.8011428874034456,65.28755364806867,65.32321075149841,0.006674549889933227,False,-0.4747439473899812,False,-0.9840424336386546,False,1.2592318023441715,False,0,False,0.7846775493041144,40.04504504504504,32.84705882352941,False,0.15517241379310345,False,False,False
40.045_32.8588,40.04504504504504,32.858823529411765,5.879828326180258,2.7728252242327303,0.05093401441908669,10.447360442101377,42.8444921316166,26.737311559956243,0.1041164735757677,True,-0.40656683814740846,False,-1.3530458812121435,False,2.069258354715642,False,1,False,0.40172509427447756,40.04504504504504,32.858823529411765,False,0.13793103448275862,False,False,False
40.045_32.8706,40.04504504504504,32.870588235294115,33.141630901287556,6.63296210302668,0.07923183686140393,16.869468617357864,38.34867993237092,39.27574472493142,0.001428882098936851,False,-0.41515237794388954,False,-1.0881439019225003,False,1.1459273536023036,False,0,False,0.3656849727722349,40.04504504504504,32.870588235294115,False,0.07758620689655173,False,False,False
40.045_32.8824,40.04504504504504,32.88235294117647,32.137339055793994,3.603714562164395,0.04708975686430117,9.18989620949317,36.3637339055794,38.387840115994365,0.00041663241965360365,False,-0.4167685066893794,False,-1.251325431339943,False,0.6449193436259432,False,0,False,0.33627863882956577,40.04504504504504,32.88235294117647,False,0.1206896551724138,False,False,False
40.045_32.8941,40.04504504504504,32.89411764705882,62.60944206008584,5.610493715019255,0.06413207360797145,13.478931829641747,32.05063759149456,40.6094796664602,0.011859268727602975,False,-0.47840915227403746,False,-1.2418360935766373,False,0.37526345848604953,False,0,False,0.36959260898991436,40.04504504504504,32.89411764705882,False,0.11206896551724138,False,False,False
40.045_32.9059,40.04504504504504,32.90588235294118,43.40343347639485,6.56145006003675,0.08376311372212276,15.337107322969693,35.247315369418374,42.36877714701352,0.007672416508988307,False,-0.43732199769819186,False,-1.056950714388635,False,0.0988506942128288,False,0,False,0.33317137204381037,40.04504504504504,32.90588235294118,False,0.05172413793103448,False,False,False
40.045_32.9412,40.04504504504504,32.94117647058823,1.0042918454935623,0.22488363658344918,0.0057476475447822166,0.8089020532350037,26.454935622317596,26.48221949724096,0.0007700913753932846,False,-0.38591039655249565,False,-0.9755052156405981,False,0.1168577531883116,False,0,False,0.692913261513363,40.04504504504504,32.94117647058823,False,0.3706896551724138,False,False,False
40.045_32.9529,40.04504504504504,32.95294117647059,11.047210300429185,0.22488363658344918,0.0057476475447822166,0.8089020532350037,26.454935622317596,26.48221949724096,0.0008756530510502502,False,-0.3992627376542621,False,-1.2029897007272383,False,0.21034395573896086,False,0,False,0.6929124165157442,40.04504504504504,32.95294117647059,False,0.3620689655172414,False,False,False
40.045_33.0824,40.04504504504504,33.08235294117647,5.021459227467811,0.19940381955864053,0.00394917196593485,0.5836399180443401,33.78969957081545,33.79460248989681,0.0010601185646513956,False,-0.38341364183228566,False,-1.8593531620780737,True,0.0,False,1,False,0.6585172367567587,40.04504504504504,33.08235294117647,False,0.33620689655172414,False,False,False
40.0541_32.3647,40.054054054054056,32.36470588235294,8.815450643776824,1.0538885300198357,0.030626715598995418,2.616667101294801,38.147567954220314,40.8238826845535,0.0007925049540060729,False,-0.3879722001790284,False,-1.0285852101554054,False,1.8771353465412017,False,0,False,0.5020476542284217,40.054054054054056,32.36470588235294,False,0.11206896551724138,False,False,False
40.0541_32.6,40.054054054054056,32.6,7.012875536480687,4.129744841196134,0.1459896190065107,14.989206833047437,32.66871040261598,27.634359834015246,0.013374829573156737,False,-0.44349002094233386,False,-1.3411224663723487,False,0.2531481239610734,False,0,False,0.36162311307731554,40.054054054054056,32.6,False,0.3017241379310345,False,False,False
40.0541_32.6118,40.054054054054056,32.61176470588235,18.042918454935624,3.085762363718482,0.09692475481740223,10.544694766964161,34.275184787792085,29.425489324567067,0.012835943661198163,False,-0.41274796902360544,False,-1.1998624800560418,False,0.537879878759233,False,0,False,0.4265327819709889,40.054054054054056,32.61176470588235,False,0.27586206896551724,False,False,False
40.0541_32.6235,40.054054054054056,32.62352941176471,2.0085836909871246,0.6375747351708054,0.01531915949291715,1.082760673794934,56.41416309012875,56.377069282648684,0.003846928085934028,False,-0.42522977284995944,False,-1.141567407785555,False,2.3536719670335717,False,0,False,1.653626936872317,40.054054054054056,32.62352941176471,True,0.3793103448275862,False,True,False
40.0541_32.6353,40.054054054054056,32.63529411764706,7.012875536480687,4.129744841196134,0.1459896190065107,14.989206833047437,32.66871040261598,27.634359834015246,0.013374829573156737,False,-0.44349002094233386,False,-1.3411224663723487,False,1.321529660315086,False,0,False,0.36162311307731554,40.054054054054056,32.63529411764706,False,0.3017241379310345,False,False,False
40.0541_32.6824,40.054054054054056,32.68235294117647,8.0,1.5771964601204165,0.03405220834007482,4.2063520461289485,36.55391630901288,37.65252011355481,0.0002821576629923094,False,-0.3752446977969608,False,-0.9910139066575692,False,1.3682733626790051,False,0,False,0.458566602536955,40.054054054054056,32.68235294117647,False,0.1896551724137931,False,False,False
40.0541_32.7529,40.054054054054056,32.752941176470586,17.394849785407725,4.159574129193185,0.06179742668085053,9.045028648007097,46.66881258941345,46.08390627796692,0.0035975285318232595,False,-0.38691205755933183,False,-1.0070033779169356,False,0.21686102274369368,False,0,False,0.5469232391017415,40.054054054054056,32.752941176470586,False,0.22413793103448276,False,False,False
40.0541_32.7647,40.054054054054056,32.76470588235294,9.939914163090128,4.159574129193185,0.06179742668085054,9.045028648007097,46.66881258941345,46.08390627796692,0.003131542058495446,False,-0.38127419786888705,False,-0.9955887838919153,False,0.05782960606498494,False,0,False,0.5426954547971611,40.054054054054056,32.76470588235294,False,0.23275862068965517,False,False,False
40.0541_32.8118,40.054054054054056,32.811764705882354,3.0128755364806867,6.024076648733604,0.09028894396421443,12.638759596203833,45.8412017167382,45.82755825649411,0.0015865938208212387,False,-0.38573461268761633,False,-1.0638622368798587,False,0.6533467668810332,False,0,False,0.6116255715325303,40.054054054054056,32.811764705882354,False,0.36637931034482757,False,False,False
40.0541_32.8353,40.054054054054056,32.83529411764706,49.01716738197425,24.08032650477112,0.20866381178442636,45.7532979235869,47.63491803272793,52.58442292304265,0.008065366841048338,False,-0.4293706339498254,False,-0.9697402715312379,False,1.571214603843784,False,0,False,0.45292923861566314,40.054054054054056,32.83529411764706,False,0.27155172413793105,False,False,False
40.0541_32.8588,40.054054054054056,32.858823529411765,1.0042918454935623,1.1921539624349184,0.012304453842802387,1.8011428874034456,65.28755364806867,65.32321075149841,0.006185357965709324,False,-0.475117392830371,False,-0.9815067365630966,False,2.0504273730883784,False,0,False,0.7842366347453148,40.054054054054056,32.858823529411765,False,0.15517241379310345,False,False,False
40.0541_32.8706,40.054054054054056,32.870588235294115,1.0042918454935623,1.1921539624349184,0.012304453842802387,1.8011428874034456,65.28755364806867,65.32321075149841,0.006185357965709324,False,-0.475117392830371,False,-0.9815067365630966,False,2.0040727755852226,False,0,False,0.7842366347453148,40.054054054054056,32.870588235294115,False,0.15517241379310345,False,False,False
40.0541_32.8941,40.054054054054056,32.89411764705882,4.017167381974249,3.1551286849981652,0.030181946340939677,6.500305311771835,31.466201716738198,48.18448415937384,0.08408386620870979,True,-0.410170825308757,False,-2.1769948251846074,True,0.8892573582947385,False,2,True,0.37715164794559103,40.054054054054056,32.89411764705882,False,0.13793103448275862,False,False,False
40.0541_32.9059,40.054054054054056,32.90588235294118,50.88412017167382,6.443064780813286,0.07443636388985417,15.724991608642336,29.043156783339334,39.910560998539566,0.026232519511661934,False,-0.46831224241445474,False,-1.3148236183503867,False,0.7831805143592948,False,0,False,0.3846427197461471,40.054054054054056,32.90588235294118,False,0.21551724137931033,False,False,False
40.0541_32.9176,40.054054054054056,32.917647058823526,5.884120171673819,4.641083666297207,0.061778889211310084,10.569311371778323,44.498354792560804,43.769675796060994,0.002988011479987071,False,-0.3895862445259794,False,-1.1414854195635444,False,1.026657562770844,False,0,False,0.35243404785550425,40.054054054054056,32.917647058823526,False,0.1810344827586207,False,False,False
40.0541_32.9529,40.054054054054056,32.95294117647059,2.0085836909871246,0.22488363658344918,0.0057476475447822166,0.8089020532350037,26.454935622317596,26.48221949724096,0.0007757347300103437,False,-0.38222617427157474,False,-0.9739581028244245,False,0.5748079779762322,False,0,False,0.6929131437462535,40.054054054054056,32.95294117647059,False,0.3706896551724138,False,False,False
40.0541_32.9647,40.054054054054056,32.96470588235294,1.0042918454935623,0.22488363658344918,0.0057476475447822166,0.8089020532350037,26.454935622317596,26.48221949724096,0.0007700913753932846,False,-0.38591039655249565,False,-0.9755052156405981,False,0.46079505556435163,False,0,False,0.692913261513363,40.054054054054056,32.96470588235294,False,0.3706896551724138,False,False,False
40.0541_32.9765,40.054054054054056,32.976470588235294,1.0042918454935623,0.11244181829172456,0.0028738237723910584,0.4044510266175019,26.454935622317596,26.48221949724096,0.0008529568628083418,False,-0.39166073075563146,False,-0.9760591374072686,False,1.1093554027555583,False,0,False,0.692884438241287,40.054054054054056,32.976470588235294,False,0.3706896551724138,False,False,False
