grid_id,grid_lat,grid_lon,stop_count,yolcu_per_stop,sefer_per_stop,kapasite_per_stop,doluluk_orani,kapasite_kullanimi,reconstruction_error,anomaly_autoencoder,anomaly_score_if,anomaly_isolation_forest,lof_score,anomaly_lof,graph_anomaly_score,anomaly_graph,anomaly_count,anomaly_consensus
39.9369_32.8235,39.93693693693694,32.8235294117647,181.0843373493976,296.5458735767548,0.26944070626120703,546.1793817154974,53.30718480951641,50.98168524064456,0.06109664177296909,False,-0.6245403994055093,True,-1.047056337972432,False,1.3433297492247067,False,1,False
39.9369_32.8353,39.93693693693694,32.83529411764706,253.72289156626505,439.2722319234492,0.4110095797879041,807.3314633324172,49.55495676700171,53.24731034759209,0.06215070413287494,False,-0.6753916720785952,True,-1.5421583686469114,False,3.736889535207597,False,1,False
39.9369_32.8471,39.93693693693694,32.84705882352941,479.6993865030675,216.159344795476,0.9473511688965794,408.6438093481536,46.136518406088264,54.476888962661235,4.01619535844591,True,-0.6793916671193193,True,-2.4467331934383774,True,3.200937740330369,False,3,True
39.9369_32.8588,39.93693693693694,32.858823529411765,34.905660377358494,32.815101505593596,0.2691257356926184,57.55561655754641,51.05109774921096,58.423349008839764,0.007198745851368403,False,-0.380609810917006,False,-1.0184157224760624,False,6.165945718830386,False,0,False
39.9369_32.8706,39.93693693693694,32.870588235294115,145.25,99.86042001474588,0.4428964027493703,186.60311444577468,47.065331527152864,54.644065524209566,0.16469461402073685,False,-0.500556990737538,False,-1.2812456754302999,False,1.0631207226398622,False,0,False
39.9369_32.8824,39.93693693693694,32.88235294117647,80.0375,127.52936137164097,0.545803230768008,235.9720562624425,48.08286098101072,55.96083128917761,0.016921231413320127,False,-0.4919295649110387,False,-1.1193465418910855,False,1.1348730905869904,False,0,False
39.9369_32.8941,39.93693693693694,32.89411764705882,48.57232704402516,8.532776447699964,0.10583949648122327,24.297329740705933,31.922349981018545,35.56174910559456,0.045783120949473295,False,-0.41099728101155975,False,-1.219524224492582,False,2.6350452611018618,False,0,False
39.9369_32.9059,39.93693693693694,32.90588235294118,34.484472049689444,81.72896243177654,0.05145675807877932,151.60436463225628,44.62212674543502,49.601364323361615,0.008444994896920162,False,-0.4482618378467203,False,-1.136492069320194,False,1.1954807192827352,False,0,False
39.9369_32.9176,39.93693693693694,32.917647058823526,47.40880503144654,6.167932698965375,0.07142836473650548,14.17114067719889,44.08370195339388,44.23415675797014,0.04020696181798786,False,-0.37970697422673955,False,-1.2083593163316293,False,0.7820358500009742,False,0,False
39.9369_32.9882,39.93693693693694,32.98823529411764,10.0,2.2123730129871295,0.038094981572012764,5.362710373093792,42.7248427672956,42.865183887468184,0.0005753168355574727,False,-0.3586767956868054,False,-0.9943093351544456,False,0.1190941157431833,False,0,False
39.9369_33.0,39.93693693693694,33.0,2.0,2.2123730129871295,0.038094981572012764,5.362710373093791,42.7248427672956,42.86518388746819,0.0040571338154984215,False,-0.3578805503725924,False,-0.9817471524951029,False,0.22112381367436554,False,0,False
39.9369_33.0235,39.93693693693694,33.023529411764706,17.628930817610062,4.520713173884882,0.0826315517197523,11.601403428713294,36.426607921613474,39.993798592958946,0.0026479018582548836,False,-0.37186280734807386,False,-1.0639877425898956,False,0.14117948697565713,False,0,False
39.9369_33.0471,39.93693693693694,33.04705882352941,8.0,2.2123730129871295,0.038094981572012764,5.362710373093791,42.7248427672956,42.86518388746819,0.0009673375978698457,False,-0.3586194509374726,False,-0.9932666826433334,False,0.49063278908527425,False,0,False
39.9459_32.5294,39.94594594594594,32.529411764705884,13.9874213836478,25.258326339732932,0.1425163528944633,48.934213353327046,41.92386942198263,58.94510159270048,0.0847042393368781,False,-0.39638062062121066,False,-1.1102329217284235,False,0.2583826787039818,False,0,False
39.9459_32.5412,39.94594594594594,32.54117647058823,22.9874213836478,22.513763285136367,0.13321931691014208,42.31470148782043,47.41719989062073,60.036911984069405,0.03517099378713318,False,-0.37723811896931153,False,-1.0385212693570627,False,0.3517549123118871,False,0,False
39.9459_32.5529,39.94594594594594,32.55294117647059,56.9685534591195,25.586483447666634,0.15037665772157022,48.11576123009791,47.9239843884829,60.28401155898311,0.05176204528198031,False,-0.3886879615318326,False,-1.0045529810645046,False,0.34816585600013733,False,0,False
39.9459_32.5647,39.94594594594594,32.56470588235294,20.0,19.70566184693585,0.12372980397838566,32.40322668953574,62.89837526205451,67.08045227958827,0.006695546176348599,False,-0.4254357244310182,False,-1.0056726115611085,False,1.6139687392387887,False,0,False
39.9459_32.5765,39.94594594594594,32.576470588235296,123.09756097560975,95.31333365591685,0.18224803300807663,175.90991734233742,53.78366725711569,60.93425575915597,0.1392331504732398,False,-0.49668888172678105,False,-1.22088805168107,False,0.9320459719147257,False,0,False
39.9459_32.5882,39.94594594594594,32.588235294117645,100.8109756097561,142.4280231715543,0.15561303537794346,264.53590894312185,56.29573766405801,59.37722850988085,0.014308464344346626,False,-0.5207070422513361,False,-1.2090941438258296,False,0.39578984269490414,False,0,False
